oid_usuario;oid_conta;num_conta;nom_transacao;NUM_ANO_MES;qtd_transacao
6992392;6482893;22497;Convênios;202202;30
7118288;6589461;23000;Cartões;202204;2
4554544;4346096;15075;Convênios;202206;2
1575536;1581009;5096;Pagamentos;202204;4
1570081;1575992;6378;Cartões;202203;11
1763874;1749057;4979;Conta Corrente;202202;1
4333057;4132779;6467;PIX;202204;4
4333057;4132779;6467;PIX;202206;2
6950678;6447745;22390;PIX;202205;168
4479653;4277496;14729;PIX;202202;94
1585082;1589896;6459;PIX;202202;20
6296327;5886867;19410;PIX;202204;8
5874760;5520897;18376;PIX;202203;12
5874760;5520897;18376;PIX;202201;4
6951556;6448497;22403;PIX;202204;4
6855750;6367048;21644;PIX;202204;10
4554544;4346096;15075;PIX;202206;172
4554544;4346096;15075;PIX;202204;116
7185921;6646839;23280;PIX;202206;48
6008036;5637527;18805;PIX;202203;24
6506149;6068285;19810;PIX;202203;1
1575536;1581009;5096;PIX;202204;28
6932757;6432339;18031;PIX;202204;4
4554914;4346435;14656;PIX;202201;272
2619606;2542713;11002;PIX;202201;91
6506149;6068285;19810;PIX;202201;5
1558168;1565044;167;PIX;202203;4
1665664;1657947;426;PIX;202204;6
1665664;1657947;426;PIX;202206;2
3326322;3183712;12530;PIX;202204;2
1665664;1657947;426;PIX;202203;2
2501724;2432062;10979;PIX;202206;8
1558168;1565044;167;PIX;202206;16
7185921;6646839;23280;PIX;202202;50
7185921;6646839;23280;PIX;202203;82
1570081;1575992;6378;PIX;202202;55
1570081;1575992;6378;PIX;202206;66
6344943;5928914;19593;Pagamentos;202206;12
4442867;4231898;14605;Convênios;202201;10
4324266;4124549;14664;Pagamentos;202203;6
5293162;5009076;16713;Conta Corrente;202203;8
4442867;4231898;14605;Pagamentos;202202;4
1484791;1496812;574;Convênios;202204;4
1580825;1586013;6661;Pagamentos;202202;12
1580825;1586013;6661;Pagamentos;202203;4
1492999;1504536;1732;Conta Corrente;202202;4
4442867;4231898;14605;Pagamentos;202201;2
5295081;5010736;16691;Pagamentos;202202;8
2320749;2262708;10049;Conta Corrente;202206;4
4324266;4124549;14664;Cartões;202206;2
5293162;5009076;16713;Conta Corrente;202202;8
5295081;5010736;16691;Cartões;202203;2
5295081;5010736;16691;Cartões;202201;2
6344943;5928914;19593;Crédito;202202;2
5384957;5089926;16799;Conta Corrente;202204;2
2602125;2526435;9920;Cartões;202204;4
5293162;5009076;16713;Pagamentos;202202;16
1486990;1498827;1210;Cartões;202204;6
5295081;5010736;16691;Convênios;202205;4
4442867;4231898;14605;Convênios;202202;4
5372908;5079264;16918;Pagamentos;202205;4
1492999;1504536;1732;Convênios;202202;4
1492999;1504536;1732;Pagamentos;202206;4
4324266;4124549;14664;Crédito;202203;2
5384957;5089926;16799;Pagamentos;202203;2
5293162;5009076;16713;Pagamentos;202205;64
1484791;1496812;574;Convênios;202205;8
5337712;5048189;16250;Pagamentos;202203;6
1580825;1586013;6661;Pagamentos;202201;8
2007548;1973766;3913;Pagamentos;202204;6
5293162;5009076;16713;Pagamentos;202206;24
